state,pect_urban,full_imm_percent,percent_elderly,more_than_4_prop,cold_chain_points_per_10000,storage_cap_lit_per_10000,density,dust_pop,confirmed,active,recovered,deceased,district,morbidity_percent
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.0012506071185656616,136148.832,526,7,519,0.0,East Jaintia Hills,0.1724806201550388
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.002312668810845492,131577.4,116,5,109,0.00018214936247723133,North Garo Hills,0.1724806201550388
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.0023640488390453823,287318.56,1336,38,1296,0.00018214936247723133,Ri Bhoi,0.18410852713178294
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.0016712360052460672,158542.288,197,7,190,0.0,South Garo Hills,0.05426356589147287
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.004583555269962048,191814.44,195,11,182,0.00018214936247723133,South West Garo Hills,0.1724806201550388
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.0017825398489342936,122489.024,57,2,55,0.0,South West Khasi Hills,0.1724806201550388
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.003483386804360259,300631.424,477,86,390,9.107468123861566e-05,West Jaintia Hills,0.1724806201550388
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.003777727810602571,714930.3759999998,1696,32,1648,0.0014571948998178506,West Garo Hills,0.2054263565891473
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.0015927758047431808,428788.312,171,5,165,9.107468123861566e-05,West Khasi Hills,0.1492248062015504
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.002458462189577618,449308.048,2704,67,2630,0.0006375227686703097,Aizawl,0.2596899224806202
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.0008488883780473935,139411.44,94,4,90,0.0,Champhai,0.2713178294573643
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.0012952228793545635,92356.048,279,5,274,0.0,Kolasib,0.3662790697674418
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.0010035047528693204,130597.728,308,32,276,0.0,Lawngtlai,0.4825581395348837
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.0007201397811126547,171352.52800000002,368,30,338,0.0,Lunglei,0.2713178294573643
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.000614854757549079,95361.784,82,0,82,0.0,Mamit,0.25387596899224807
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.0008552257093585005,62678.992,35,0,35,0.0,Saiha,0.3643410852713178
Mizoram,0.48107258191851915,0.534640522875817,0.24096385542168675,0.02931021491179754,0.5364344113389243,0.5364344113389243,0.000980146333121682,72141.0,176,7,169,0.0,Serchhip,0.39728682170542634
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.008976126139629333,422303.128,6362,157,6087,0.00418943533697632,Dimapur,0.27906976744186046
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.0012747573262879366,82324.696,39,14,24,9.107468123861566e-05,Kiphire,0.17248062015503873
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.005670975611062298,300310.05600000004,3687,284,3355,0.001912568306010929,Kohima,0.3178294573643411
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.0012347684458393086,56259.416,18,0,9,0.0,Longleng,0.3391472868217054
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.0026043540067416265,214806.152,164,41,116,9.107468123861566e-05,Mokokchung,0.3624031007751939
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.0031690140972724565,288679.648,603,13,579,0.00018214936247723133,Mon,0.23255813953488372
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.0015381090540070453,181582.928,498,19,479,0.0,Peren,0.18798449612403104
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.0017487083293488582,181582.928,45,1,44,0.0,Phek,0.2887596899224806
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.002132735269795436,461258.71200000006,244,9,234,9.107468123861566e-05,Tuensang,0.248062015503876
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.002220563072894658,184857.768,39,0,35,9.107468123861566e-05,Wokha,0.2810077519379845
Nagaland,0.2152427993009492,0.5254901960784314,0.10843373493975905,0.029129417438149105,0.4062555078575087,0.4062555078575087,0.002445364713572146,156807.568,142,0,139,0.0,Zunheboto,0.22286821705426357
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.5108681454545169,647539.84,184,184,0,0.0,Central Delhi,0.2773255813953488
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.08518896129684338,1900792.752,38,38,0,0.0,East Delhi,0.2773255813953488
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.14155417187501432,157908.448,37,37,0,0.0,New Delhi,0.2773255813953488
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.330087007192639,987431.536,60,60,0,0.0,North Delhi,0.2773255813953488
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.945483625820854,2492685.8880000003,25,25,0,0.0,North East Delhi,0.2773255813953488
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.6169028458279777,4066071.368,32,31,0,9.107468123861566e-05,North West Delhi,0.2773255813953488
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.2396614355388516,3037905.048,70,70,0,0.0,South Delhi,0.3016795865633075
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.1273025850547099,2549769.296,42,42,0,0.0,South West Delhi,0.0
Delhi,1.0,0.7058823529411764,0.3012048192771084,0.023441891384391234,0.2330799098442208,0.2330799098442208,0.4980311907805175,2828086.216,122,122,0,0.0,West Delhi,0.0
Odisha,0.07608185822129933,0.6405228758169934,0.6265060240963854,0.01568278705938972,0.17020908985327626,0.17020908985327626,0.004456610805958148,1414133.736,10527,235,10255,0.00336976320582878,Angul,0.5880813953488372
Odisha,0.07608185822129933,0.6405228758169934,0.6265060240963854,0.01568278705938972,0.17020908985327626,0.17020908985327626,0.003095435429007145,489187.704,2758,5,2742,0.0010018214936247723,Boudh (Bauda),0.5880813953488372
Odisha,0.07608185822129933,0.6405228758169934,0.6265060240963854,0.01568278705938972,0.17020908985327626,0.17020908985327626,0.013171703328603873,1675252.4640000004,7331,22,7281,0.0025500910746812386,Bhadrak,0.5880813953488372
